DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DTW,CDG,2019-01-18,€45.000000,1941.000000 kg,168.600000 L,6405 km
CDG,DTW,2019-03-01,€45.000000,1941.000000 kg,168.600000 L,6405 km
DTW,BCN,2019-03-01,€47.000000,2027.990000 kg,175.740000 L,6818 km
AKL,SYD,2019-03-09,€125.000000,5429.430000 kg,463.950000 L,14310 km
DTW,RNS,2019-04-03,€42.000000,1800.300000 kg,156.420000 L,6184 km
RNS,EDI,2019-04-04,€7.000000,275.300000 kg,28.720000 L,934 km
EDI,GLA,2019-04-05,€5.000000,21.750000 kg,5.500000 L,106 km
GLA,MLH,2019-04-06,€9.000000,358.530000 kg,35.440000 L,1253 km
MLH,LHR,2019-04-13,€5.000000,216.340000 kg,24.000000 L,747 km
LHR,DTW,2019-05-26,€36.000000,1527.000000 kg,132.650000 L,6093 km
DTW,DET,2019-05-26,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-06-06,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,ARN,2019-06-06,€46.000000,1977.950000 kg,171.500000 L,6679 km
ARN,DTW,2019-07-04,€46.000000,1977.950000 kg,171.500000 L,6679 km
DTW,TPS,2019-07-04,€56.000000,2396.410000 kg,206.950000 L,7768 km
TPS,HND,2019-07-11,€79.000000,3411.130000 kg,292.880000 L,10268 km
HND,ITM,2019-07-12,€5.000000,114.000000 kg,16.200000 L,452 km
ITM,OKA,2019-07-13,€9.000000,369.000000 kg,36.200000 L,1262 km
OKA,LHR,2019-07-27,€77.000000,3308.020000 kg,284.140000 L,10062 km
LHR,PEG,2019-08-02,€10.000000,394.460000 kg,38.350000 L,1398 km
PEG,DTW,2019-08-24,€52.000000,2257.720000 kg,195.210000 L,7417 km
DTW,LGA,2019-08-24,€6.000000,250.000000 kg,26.580000 L,855 km
LGA,DTW,2019-10-04,€6.000000,250.000000 kg,26.580000 L,855 km
DTW,MOD,2019-10-04,€20.000000,844.540000 kg,75.550000 L,3275 km
MOD,DTW,2019-10-05,€20.000000,844.540000 kg,75.550000 L,3275 km
