DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
YVR,TXL,2019-02-01,€58.000000,2503.340000 kg,216.010000 L,8039 km
TXL,YVR,2019-03-08,€58.000000,2503.340000 kg,216.010000 L,8039 km
YVR,LEJ,2019-03-08,€59.000000,2537.000000 kg,218.860000 L,8125 km
LEJ,TXL,2019-03-14,€5.000000,39.430000 kg,9.980000 L,193 km
YVR,MEB,2019-04-13,€113.000000,4907.770000 kg,419.740000 L,13265 km
MEB,PER,2019-04-21,€17.000000,721.910000 kg,65.310000 L,2756 km
PER,SYD,2019-04-26,€22.000000,948.000000 kg,84.550000 L,3325 km
SYD,YVR,2019-05-18,€109.000000,4718.000000 kg,403.790000 L,12543 km
YVR,FRA,2019-05-18,€56.000000,2399.000000 kg,207.080000 L,8110 km
FRA,CRL,2019-05-19,€5.000000,80.370000 kg,15.370000 L,347 km
CRL,SXF,2019-05-25,€5.000000,208.470000 kg,23.470000 L,720 km
SXF,BHD,2019-05-31,€9.000000,382.280000 kg,37.360000 L,1349 km
BHD,DND,2019-06-01,€5.000000,70.930000 kg,14.740000 L,322 km
DND,YVR,2019-06-16,€50.000000,2131.550000 kg,184.520000 L,7097 km
YVR,CPH,2019-06-16,€55.000000,2377.790000 kg,205.370000 L,7721 km
CPH,ZRH,2019-06-28,€7.000000,264.000000 kg,27.080000 L,1011 km
ZRH,ANR,2019-07-05,€5.000000,162.350000 kg,20.390000 L,560 km
YVR,TXL,2019-08-23,€58.000000,2503.340000 kg,216.010000 L,8039 km
TXL,HEM,2019-09-07,€8.000000,337.440000 kg,33.730000 L,1167 km
HEM,RTM,2019-09-19,€11.000000,448.720000 kg,42.740000 L,1618 km
RTM,YVR,2019-10-25,€56.000000,2403.990000 kg,207.590000 L,7788 km
YVR,LCY,2019-10-25,€55.000000,2351.820000 kg,203.170000 L,7655 km
LCY,ORY,2019-10-26,€5.000000,98.000000 kg,15.690000 L,399 km
ORY,YVR,2019-11-14,€58.000000,2489.990000 kg,214.870000 L,8005 km
YVR,TXL,2019-11-14,€58.000000,2503.340000 kg,216.010000 L,8039 km
TXL,YVR,2019-11-30,€58.000000,2503.340000 kg,216.010000 L,8039 km
YVR,MAN,2019-11-30,€37.000000,1598.000000 kg,138.220000 L,7385 km
MAN,SXF,2019-12-14,€8.000000,323.340000 kg,32.590000 L,1110 km
SXF,YVR,2019-12-20,€58.000000,2508.450000 kg,216.440000 L,8052 km
