DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTN,LCY,2019-03-22,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-04-21,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,TXL,2019-04-21,€7.000000,290.930000 kg,29.970000 L,983 km
TXL,LTN,2019-04-24,€7.000000,290.930000 kg,29.970000 L,983 km
LTN,CPH,2019-04-24,€7.000000,296.320000 kg,30.400000 L,1001 km
CPH,LTN,2019-05-17,€7.000000,296.320000 kg,30.400000 L,1001 km
LTN,LCY,2019-05-17,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-07-12,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,TXL,2019-07-12,€7.000000,290.930000 kg,29.970000 L,983 km
TXL,LTN,2019-08-02,€7.000000,290.930000 kg,29.970000 L,983 km
LTN,LCY,2019-08-02,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-08-16,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,LCY,2019-08-16,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-09-27,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,LCY,2019-09-27,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-11-08,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,TXL,2019-11-08,€7.000000,290.930000 kg,29.970000 L,983 km
TXL,LTN,2019-11-14,€7.000000,290.930000 kg,29.970000 L,983 km
