DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
STN,LCY,2019-01-11,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-01-19,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-01-19,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-01-25,€5.000000,18.850000 kg,4.770000 L,92 km
STN,YTZ,2019-01-25,€39.000000,1653.900000 kg,144.000000 L,5776 km
YTZ,STN,2019-02-15,€39.000000,1653.900000 kg,144.000000 L,5776 km
STN,LCY,2019-02-15,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-02-22,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-02-22,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-03-23,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-03-23,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-03-29,€5.000000,18.850000 kg,4.770000 L,92 km
STN,BRS,2019-03-29,€5.000000,54.100000 kg,13.190000 L,261 km
BRS,STN,2019-04-08,€5.000000,54.100000 kg,13.190000 L,261 km
STN,INN,2019-04-08,€7.000000,296.340000 kg,30.400000 L,1001 km
INN,STN,2019-04-14,€7.000000,296.340000 kg,30.400000 L,1001 km
STN,LCY,2019-04-14,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-04-18,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-04-18,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,LYX,2019-04-19,€5.000000,28.010000 kg,7.090000 L,137 km
LYX,LCY,2019-04-21,€5.000000,28.010000 kg,7.090000 L,137 km
LCY,STN,2019-04-28,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-04-28,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-05-04,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-05-04,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-05-26,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-05-26,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-06-14,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-06-14,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-06-25,€5.000000,18.850000 kg,4.770000 L,92 km
STN,GRO,2019-06-25,€8.000000,338.150000 kg,33.790000 L,1170 km
GRO,STN,2019-06-29,€8.000000,338.150000 kg,33.790000 L,1170 km
STN,EMA,2019-06-29,€5.000000,40.650000 kg,10.290000 L,199 km
EMA,LCY,2019-06-30,€5.000000,45.760000 kg,11.580000 L,224 km
LCY,STN,2019-07-06,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-07-25,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-07-25,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-08-02,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-08-02,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-08-09,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-08-09,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-08-23,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-08-23,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-08-30,€5.000000,18.850000 kg,4.770000 L,92 km
STN,ESH,2019-08-30,€5.000000,35.140000 kg,8.890000 L,172 km
ESH,STN,2019-09-04,€5.000000,35.140000 kg,8.890000 L,172 km
STN,PUY,2019-09-04,€9.000000,375.910000 kg,36.840000 L,1323 km
PUY,STN,2019-10-05,€9.000000,375.910000 kg,36.840000 L,1323 km
STN,LCY,2019-10-05,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-10-11,€5.000000,18.850000 kg,4.770000 L,92 km
STN,TXL,2019-10-11,€7.000000,278.000000 kg,28.930000 L,943 km
TXL,STN,2019-10-19,€7.000000,278.000000 kg,28.930000 L,943 km
STN,LCY,2019-10-19,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-11-02,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-11-02,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-11-22,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-12-08,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-12-12,€5.000000,18.850000 kg,4.770000 L,92 km
STN,EMA,2019-12-12,€5.000000,40.650000 kg,10.290000 L,199 km
EMA,LCY,2019-12-13,€5.000000,45.760000 kg,11.580000 L,224 km
LCY,STN,2019-12-21,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-12-21,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-12-31,€5.000000,18.850000 kg,4.770000 L,92 km
