DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LJU,MAD,2019-02-01,€12.000000,479.000000 kg,45.310000 L,1634 km
MAD,LJU,2019-04-26,€12.000000,479.000000 kg,45.310000 L,1634 km
LJU,BRQ,2019-04-26,€5.000000,116.200000 kg,17.510000 L,432 km
BRQ,LJU,2019-07-12,€5.000000,116.200000 kg,17.510000 L,432 km
LJU,BUD,2019-07-12,€5.000000,120.140000 kg,17.750000 L,441 km
BUD,LCY,2019-07-13,€10.000000,420.500000 kg,40.460000 L,1504 km
LCY,LJU,2019-07-27,€9.000000,362.470000 kg,35.760000 L,1269 km
LJU,OPO,2019-07-27,€13.000000,539.980000 kg,50.130000 L,1987 km
OPO,LJU,2019-08-07,€13.000000,539.980000 kg,50.130000 L,1987 km
LJU,LEI,2019-08-07,€12.000000,491.760000 kg,46.230000 L,1792 km
LEI,LJU,2019-08-22,€12.000000,491.760000 kg,46.230000 L,1792 km
LJU,LPL,2019-08-22,€10.000000,428.260000 kg,41.080000 L,1535 km
LPL,LJU,2019-09-06,€10.000000,428.260000 kg,41.080000 L,1535 km
LJU,YTZ,2019-09-06,€49.000000,2093.970000 kg,181.340000 L,7002 km
YTZ,ATL,2019-09-07,€9.000000,356.220000 kg,35.250000 L,1243 km
ATL,TNT,2019-09-13,€56.000000,2422.880000 kg,209.190000 L,7835 km
TNT,BFI,2019-09-19,€64.000000,2773.800000 kg,238.910000 L,8725 km
BFI,SAN,2019-09-29,€12.000000,482.030000 kg,45.440000 L,1753 km
SAN,ABQ,2019-10-04,€8.000000,311.030000 kg,31.590000 L,1060 km
ABQ,SFO,2019-10-05,€12.000000,491.000000 kg,47.080000 L,1489 km
SFO,MAD,2019-10-11,€70.000000,3037.790000 kg,261.260000 L,9393 km
MAD,LJU,2019-11-08,€12.000000,479.000000 kg,45.310000 L,1634 km
LJU,PRG,2019-11-08,€5.000000,56.000000 kg,14.170000 L,481 km
PRG,LJU,2019-11-16,€5.000000,56.000000 kg,14.170000 L,481 km
LJU,MAD,2019-11-16,€12.000000,479.000000 kg,45.310000 L,1634 km
MAD,LJU,2019-12-07,€12.000000,479.000000 kg,45.310000 L,1634 km
LJU,LIS,2019-12-07,€14.000000,577.570000 kg,53.260000 L,2146 km
LIS,LJU,2019-12-20,€14.000000,577.570000 kg,53.260000 L,2146 km
LJU,BCN,2019-12-28,€8.000000,319.000000 kg,31.640000 L,1183 km
BCN,LJU,2019-12-31,€8.000000,319.000000 kg,31.640000 L,1183 km
