DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
NRT,HND,2019-02-09,€5.000000,21.450000 kg,5.430000 L,105 km
HND,NRT,2019-03-07,€5.000000,21.450000 kg,5.430000 L,105 km
NRT,BOS,2019-03-07,€85.000000,3689.210000 kg,316.450000 L,10825 km
BOS,LHR,2019-03-09,€35.000000,1512.000000 kg,132.150000 L,5288 km
LHR,MEX,2019-03-16,€73.000000,3171.000000 kg,273.160000 L,8950 km
MEX,LGA,2019-03-23,€21.000000,879.500000 kg,78.470000 L,3422 km
LGA,NRT,2019-04-17,€86.000000,3716.250000 kg,318.740000 L,10879 km
NRT,BRU,2019-04-17,€71.000000,3086.130000 kg,265.350000 L,9516 km
GRU,NQY,2019-05-03,€69.000000,2975.530000 kg,255.990000 L,9236 km
NQY,BEV,2019-05-08,€24.000000,1006.370000 kg,89.060000 L,3959 km
BEV,NRT,2019-05-18,€70.000000,3007.450000 kg,258.690000 L,9317 km
ABQ,LGA,2019-06-15,€18.000000,773.980000 kg,69.660000 L,2976 km
LGA,PDX,2019-06-22,€24.000000,1011.520000 kg,89.490000 L,3981 km
PDX,GDN,2019-06-28,€61.000000,2633.660000 kg,227.040000 L,8369 km
GDN,POZ,2019-06-29,€5.000000,64.740000 kg,14.170000 L,299 km
POZ,TXL,2019-06-30,€5.000000,62.010000 kg,13.920000 L,290 km
TXL,ZAD,2019-07-03,€7.000000,297.200000 kg,30.470000 L,1004 km
ZAD,OTP,2019-07-12,€7.000000,266.040000 kg,27.970000 L,905 km
OTP,GLA,2019-07-26,€16.000000,667.530000 kg,60.770000 L,2526 km
GLA,LHR,2019-07-27,€5.000000,155.000000 kg,18.480000 L,604 km
LHR,TAR,2019-08-01,€12.000000,512.510000 kg,47.910000 L,1876 km
TAR,DRS,2019-08-02,€9.000000,361.160000 kg,35.650000 L,1263 km
DRS,KNF,2019-08-08,€7.000000,302.870000 kg,30.930000 L,1027 km
KNF,FRA,2019-08-10,€5.000000,200.000000 kg,22.910000 L,690 km
BRU,MAN,2019-08-25,€6.000000,228.000000 kg,27.840000 L,584 km
VKO,GNB,2019-09-05,€16.000000,671.300000 kg,61.090000 L,2542 km
GNB,SWF,2019-09-12,€42.000000,1822.650000 kg,158.320000 L,6246 km
LGA,NRT,2019-11-01,€86.000000,3716.250000 kg,318.740000 L,10879 km
NRT,HKG,2019-11-01,€21.000000,896.000000 kg,80.500000 L,3011 km
HKG,NRT,2019-11-09,€21.000000,896.000000 kg,80.500000 L,3011 km
NRT,SIN,2019-11-09,€37.000000,1587.000000 kg,138.480000 L,5404 km
SIN,NRT,2019-11-22,€37.000000,1587.000000 kg,138.480000 L,5404 km
NRT,ITM,2019-11-22,€5.000000,132.000000 kg,17.210000 L,510 km
ITM,NGO,2019-11-23,€5.000000,39.650000 kg,10.030000 L,194 km
NGO,NRT,2019-12-18,€5.000000,92.000000 kg,15.180000 L,390 km
