DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LAX,LHR,2019-03-17,€67.000000,2885.000000 kg,248.600000 L,8806 km
LHR,TXL,2019-03-21,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,VIY,2019-03-22,€7.000000,276.840000 kg,28.840000 L,939 km
VIY,LAX,2019-07-31,€68.000000,2946.520000 kg,253.530000 L,9162 km
LAX,AMS,2019-07-31,€81.000000,3482.000000 kg,299.740000 L,9001 km
AMS,LAX,2019-10-04,€81.000000,3482.000000 kg,299.740000 L,9001 km
LAX,DET,2019-10-04,€20.000000,841.550000 kg,75.300000 L,3262 km
DET,ABQ,2019-10-05,€14.000000,601.600000 kg,55.270000 L,2247 km
ABQ,LGA,2019-10-07,€18.000000,773.980000 kg,69.660000 L,2976 km
LGA,LAX,2019-10-27,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,GLA,2019-11-05,€61.000000,2611.440000 kg,225.160000 L,8313 km
GLA,MAN,2019-11-06,€5.000000,77.000000 kg,13.920000 L,362 km
MAN,AMS,2019-11-07,€5.000000,157.000000 kg,20.000000 L,534 km
AMS,LAX,2019-11-09,€81.000000,3482.000000 kg,299.740000 L,9001 km
