DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SYD,MEL,2019-01-06,€106.000000,4602.000000 kg,394.170000 L,12102 km
TXL,CPH,2019-01-26,€5.000000,94.000000 kg,14.680000 L,406 km
CPH,TXL,2019-02-02,€5.000000,94.000000 kg,14.680000 L,406 km
TXL,LHR,2019-02-02,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-02-08,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,HHR,2019-02-22,€70.000000,3032.260000 kg,260.790000 L,9379 km
HHR,HAM,2019-03-01,€68.000000,2940.220000 kg,253.000000 L,9146 km
HAM,PRG,2019-03-02,€5.000000,131.000000 kg,16.700000 L,538 km
PRG,TXL,2019-03-14,€5.000000,38.000000 kg,9.620000 L,330 km
TXL,VIY,2019-03-14,€7.000000,276.840000 kg,28.840000 L,939 km
VIY,TXL,2019-03-21,€7.000000,276.840000 kg,28.840000 L,939 km
TXL,HAM,2019-03-21,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-03-23,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,AMS,2019-04-06,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-04-12,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,CDG,2019-04-12,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,TXL,2019-04-24,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,LBA,2019-05-03,€8.000000,309.600000 kg,31.480000 L,1055 km
LBA,TXL,2019-05-17,€8.000000,309.600000 kg,31.480000 L,1055 km
TXL,LHR,2019-05-17,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-05-26,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,VIY,2019-05-26,€7.000000,276.840000 kg,28.840000 L,939 km
VIY,TXL,2019-06-08,€7.000000,276.840000 kg,28.840000 L,939 km
TXL,LEJ,2019-06-08,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,TXL,2019-06-15,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,LHR,2019-06-15,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-06-28,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,SIR,2019-06-28,€6.000000,256.730000 kg,27.230000 L,875 km
SIR,TXL,2019-07-05,€6.000000,256.730000 kg,27.230000 L,875 km
TXL,GDL,2019-07-05,€75.000000,3240.590000 kg,278.430000 L,9907 km
GDL,TXL,2019-07-13,€75.000000,3240.590000 kg,278.430000 L,9907 km
TXL,HND,2019-07-20,€67.000000,2879.910000 kg,247.890000 L,8993 km
HND,TXL,2019-08-17,€67.000000,2879.910000 kg,247.890000 L,8993 km
TXL,BCN,2019-08-17,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-08-24,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,GVA,2019-08-30,€7.000000,272.420000 kg,28.480000 L,925 km
GVA,TXL,2019-09-02,€7.000000,272.420000 kg,28.480000 L,925 km
TXL,IBZ,2019-09-02,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-09-13,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,DCA,2019-09-27,€47.000000,2008.140000 kg,174.060000 L,6763 km
DCA,LGA,2019-09-28,€5.000000,91.000000 kg,14.680000 L,393 km
LGA,LHR,2019-10-04,€37.000000,1587.960000 kg,138.400000 L,5593 km
LHR,DUB,2019-10-05,€5.000000,128.000000 kg,16.960000 L,499 km
DUB,TXL,2019-10-25,€9.000000,384.720000 kg,37.560000 L,1359 km
TXL,LHR,2019-10-25,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,EMA,2019-10-26,€5.000000,43.330000 kg,10.960000 L,212 km
EMA,TXL,2019-10-31,€8.000000,304.590000 kg,31.070000 L,1034 km
TXL,MXP,2019-10-31,€5.000000,206.000000 kg,21.770000 L,888 km
MXP,CDG,2019-11-02,€5.000000,167.000000 kg,19.490000 L,647 km
CDG,TXL,2019-11-22,€6.000000,233.000000 kg,24.550000 L,900 km
MEL,SYD,2019-11-23,€112.000000,4837.000000 kg,414.430000 L,11694 km
MAN,TXL,2019-12-20,€8.000000,319.570000 kg,32.280000 L,1095 km
TXL,LHR,2019-12-20,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-12-28,€7.000000,263.000000 kg,27.080000 L,995 km
