DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,EWR,2019-01-01,€44.000000,1899.710000 kg,164.860000 L,6461 km
EWR,ESS,2019-01-12,€41.000000,1771.850000 kg,154.010000 L,6105 km
ESS,SXF,2019-02-01,€5.000000,148.560000 kg,19.470000 L,512 km
SXF,SFO,2019-02-01,€68.000000,2955.670000 kg,254.300000 L,9185 km
SFO,MEX,2019-02-09,€18.000000,780.000000 kg,69.870000 L,3077 km
MEX,VIE,2019-02-15,€78.000000,3380.330000 kg,290.270000 L,10206 km
VIE,TXL,2019-02-16,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,SXF,2019-02-22,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,OBF,2019-02-22,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,SXF,2019-03-15,€5.000000,164.220000 kg,20.520000 L,566 km
SXF,SIN,2019-03-15,€76.000000,3268.390000 kg,280.780000 L,9978 km
SIN,HND,2019-03-16,€39.000000,1665.000000 kg,145.310000 L,5346 km
HND,SSN,2019-03-23,€9.000000,348.350000 kg,34.610000 L,1211 km
SSN,CDG,2019-03-29,€67.000000,2885.230000 kg,248.340000 L,9007 km
CDG,TXL,2019-03-30,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,SXF,2019-04-05,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,YTZ,2019-04-05,€45.000000,1928.890000 kg,167.330000 L,6542 km
YTZ,LGA,2019-04-06,€5.000000,175.710000 kg,21.290000 L,606 km
LGA,TXL,2019-04-20,€44.000000,1885.170000 kg,163.630000 L,6421 km
TXL,LHR,2019-04-21,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,SXF,2019-04-26,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,SDV,2019-04-26,€18.000000,754.430000 kg,68.030000 L,2894 km
SDV,SXF,2019-05-11,€18.000000,754.430000 kg,68.030000 L,2894 km
SXF,NUE,2019-05-11,€5.000000,113.200000 kg,17.330000 L,424 km
NUE,SXF,2019-05-18,€5.000000,113.200000 kg,17.330000 L,424 km
SXF,LEJ,2019-05-18,€5.000000,39.530000 kg,10.000000 L,193 km
LEJ,SXF,2019-05-25,€5.000000,39.530000 kg,10.000000 L,193 km
SXF,TXL,2019-05-25,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-06-08,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-06-08,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-07-07,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,MAD,2019-07-07,€13.000000,521.750000 kg,48.650000 L,1913 km
MAD,SXF,2019-07-17,€13.000000,521.750000 kg,48.650000 L,1913 km
SXF,IBZ,2019-07-17,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SDV,2019-07-19,€19.000000,815.790000 kg,73.150000 L,3153 km
SDV,PVD,2019-07-27,€66.000000,2855.370000 kg,245.810000 L,8931 km
PVD,TXL,2019-08-10,€42.000000,1805.420000 kg,156.860000 L,6198 km
TXL,SXF,2019-08-17,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LHR,2019-08-17,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,SXF,2019-08-24,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,VKO,2019-08-24,€11.000000,452.110000 kg,43.020000 L,1632 km
VKO,SXF,2019-09-15,€11.000000,452.110000 kg,43.020000 L,1632 km
SXF,HAM,2019-09-15,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,SXF,2019-09-27,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,BUD,2019-09-27,€5.000000,216.140000 kg,23.990000 L,747 km
BUD,SXF,2019-10-11,€5.000000,216.140000 kg,23.990000 L,747 km
SXF,WAW,2019-10-11,€5.000000,161.840000 kg,20.360000 L,558 km
WAW,SXF,2019-10-19,€5.000000,161.840000 kg,20.360000 L,558 km
SXF,TXL,2019-10-19,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-10-25,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LHR,2019-10-25,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,LGA,2019-10-26,€37.000000,1587.960000 kg,138.400000 L,5593 km
SSN,SYD,2019-11-15,€48.000000,2080.220000 kg,180.170000 L,6964 km
SYD,SXF,2019-12-01,€106.000000,4602.000000 kg,394.170000 L,12102 km
TXL,SXF,2019-12-21,€5.000000,13.420000 kg,3.390000 L,65 km
