DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LAX,SYD,2019-01-02,€117.000000,5045.910000 kg,431.450000 L,13542 km
SYD,MEL,2019-01-11,€106.000000,4602.000000 kg,394.170000 L,12102 km
MEL,LAX,2019-02-08,€112.000000,4837.000000 kg,414.430000 L,11694 km
LAX,SFO,2019-02-08,€5.000000,147.000000 kg,17.720000 L,594 km
SFO,PDX,2019-02-09,€7.000000,263.000000 kg,27.590000 L,935 km
PDX,LAX,2019-03-01,€9.000000,369.000000 kg,35.690000 L,1392 km
LAX,AKL,2019-03-01,€88.000000,3814.000000 kg,327.340000 L,10530 km
AKL,SYD,2019-03-02,€125.000000,5429.430000 kg,463.950000 L,14310 km
SYD,MEL,2019-03-09,€106.000000,4602.000000 kg,394.170000 L,12102 km
MEL,SYD,2019-03-10,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,NZY,2019-03-16,€106.000000,4602.000000 kg,394.170000 L,12102 km
NZY,LAX,2019-03-22,€5.000000,46.610000 kg,11.800000 L,228 km
LAX,SJC,2019-03-22,€5.000000,167.000000 kg,21.010000 L,544 km
SJC,OAK,2019-03-23,€5.000000,20.040000 kg,5.070000 L,98 km
OAK,LAX,2019-03-29,€5.000000,172.070000 kg,21.040000 L,594 km
LAX,EDI,2019-03-29,€61.000000,2626.980000 kg,226.470000 L,8352 km
EDI,GLA,2019-03-30,€5.000000,21.750000 kg,5.500000 L,106 km
GLA,LHR,2019-04-04,€5.000000,155.000000 kg,18.480000 L,604 km
LHR,BHD,2019-04-05,€5.000000,142.000000 kg,17.720000 L,552 km
BHD,DUB,2019-04-06,€5.000000,37.510000 kg,9.490000 L,183 km
DUB,GWY,2019-04-11,€5.000000,48.070000 kg,12.160000 L,235 km
GWY,MAN,2019-04-12,€5.000000,144.950000 kg,19.230000 L,499 km
MAN,BHX,2019-04-13,€5.000000,31.820000 kg,8.050000 L,156 km
BHX,NCL,2019-04-19,€5.000000,71.000000 kg,17.970000 L,336 km
NCL,LHR,2019-04-21,€5.000000,105.000000 kg,14.930000 L,454 km
LHR,PHL,2019-05-03,€35.000000,1498.000000 kg,130.630000 L,5737 km
PHL,DCA,2019-05-04,€5.000000,49.000000 kg,12.400000 L,242 km
DCA,LAX,2019-05-10,€19.000000,818.000000 kg,72.650000 L,3758 km
LAX,HHR,2019-05-10,€5.000000,11.210000 kg,2.830000 L,54 km
HHR,LAX,2019-06-07,€5.000000,11.210000 kg,2.830000 L,54 km
LAX,LPL,2019-06-07,€63.000000,2709.180000 kg,233.430000 L,8561 km
LPL,EWR,2019-06-15,€35.000000,1519.540000 kg,132.600000 L,5402 km
EWR,LAX,2019-06-21,€21.000000,905.000000 kg,80.000000 L,3988 km
LAX,BTV,2019-06-21,€24.000000,1041.070000 kg,92.000000 L,4069 km
BTV,BOS,2019-06-22,€5.000000,77.790000 kg,15.220000 L,341 km
BOS,LAX,2019-09-20,€24.000000,1006.000000 kg,88.600000 L,4241 km
LAX,PDX,2019-09-20,€9.000000,369.000000 kg,35.690000 L,1392 km
PDX,YVR,2019-09-21,€5.000000,53.000000 kg,13.410000 L,452 km
YVR,LAX,2019-09-27,€12.000000,492.000000 kg,46.070000 L,1790 km
LAX,DEN,2019-09-27,€9.000000,370.000000 kg,35.690000 L,1434 km
DEN,BFI,2019-09-28,€11.000000,467.000000 kg,44.220000 L,1692 km
BFI,LAX,2019-10-04,€11.000000,443.900000 kg,42.350000 L,1598 km
LAX,SFO,2019-10-04,€5.000000,147.000000 kg,17.720000 L,594 km
SFO,LAX,2019-10-12,€5.000000,147.000000 kg,17.720000 L,594 km
LAX,AKL,2019-10-12,€88.000000,3814.000000 kg,327.340000 L,10530 km
AKL,MEL,2019-10-18,€125.000000,5429.430000 kg,463.950000 L,14310 km
BNA,PHL,2019-10-25,€9.000000,371.000000 kg,37.210000 L,1133 km
PHL,LAX,2019-10-31,€21.000000,881.000000 kg,77.970000 L,3904 km
LAX,LGA,2019-10-31,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,HHR,2019-11-02,€24.000000,1022.030000 kg,90.380000 L,4016 km
HHR,LAX,2019-11-15,€5.000000,11.210000 kg,2.830000 L,54 km
LAX,AUS,2019-11-15,€12.000000,505.000000 kg,46.830000 L,2042 km
AUS,MGE,2019-11-16,€9.000000,383.810000 kg,37.480000 L,1355 km
MGE,LAX,2019-12-06,€19.000000,818.660000 kg,73.390000 L,3165 km
LAX,MAN,2019-12-06,€63.000000,2720.790000 kg,234.420000 L,8590 km
MAN,EDI,2019-12-07,€5.000000,89.000000 kg,16.960000 L,346 km
EDI,MAN,2019-12-14,€5.000000,89.000000 kg,16.960000 L,346 km
MAN,LAX,2019-12-15,€63.000000,2720.790000 kg,234.420000 L,8590 km
