DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BOS,LGA,2019-01-05,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,BOS,2019-01-12,€5.000000,78.000000 kg,14.680000 L,346 km
BOS,LHR,2019-01-12,€35.000000,1512.000000 kg,132.150000 L,5288 km
LHR,BOS,2019-01-19,€35.000000,1512.000000 kg,132.150000 L,5288 km
BOS,LGA,2019-01-19,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,BOS,2019-01-30,€5.000000,78.000000 kg,14.680000 L,346 km
BOS,LHR,2019-02-16,€35.000000,1512.000000 kg,132.150000 L,5288 km
LHR,BOS,2019-03-02,€35.000000,1512.000000 kg,132.150000 L,5288 km
BOS,DET,2019-03-02,€8.000000,304.870000 kg,31.090000 L,1035 km
DET,BOS,2019-03-09,€8.000000,304.870000 kg,31.090000 L,1035 km
BOS,LGA,2019-03-09,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,BOS,2019-03-23,€5.000000,78.000000 kg,14.680000 L,346 km
BOS,DCA,2019-03-23,€5.000000,204.000000 kg,23.290000 L,689 km
DCA,BOS,2019-03-27,€5.000000,204.000000 kg,23.290000 L,689 km
BOS,LHR,2019-03-27,€35.000000,1512.000000 kg,132.150000 L,5288 km
LHR,BOS,2019-04-12,€35.000000,1512.000000 kg,132.150000 L,5288 km
BOS,LHR,2019-04-12,€35.000000,1512.000000 kg,132.150000 L,5288 km
LHR,BOS,2019-04-25,€35.000000,1512.000000 kg,132.150000 L,5288 km
BOS,DXB,2019-04-25,€85.000000,3657.740000 kg,313.780000 L,10762 km
DXB,AMS,2019-04-26,€40.000000,1720.000000 kg,150.370000 L,5216 km
AMS,PIT,2019-04-27,€43.000000,1845.600000 kg,160.270000 L,6310 km
PIT,BOS,2019-04-30,€6.000000,248.000000 kg,26.580000 L,845 km
BOS,OSL,2019-04-30,€38.000000,1618.290000 kg,140.980000 L,5677 km
OSL,BCN,2019-05-03,€14.000000,591.000000 kg,54.170000 L,2239 km
BCN,LHR,2019-05-04,€7.000000,297.000000 kg,29.620000 L,1197 km
LHR,LPL,2019-05-05,€5.000000,68.570000 kg,14.520000 L,313 km
LPL,LGA,2019-05-10,€35.000000,1510.460000 kg,131.830000 L,5377 km
LGA,ABQ,2019-05-11,€18.000000,773.980000 kg,69.660000 L,2976 km
ABQ,BOS,2019-05-17,€20.000000,832.190000 kg,74.520000 L,3222 km
BOS,GDL,2019-05-17,€23.000000,995.930000 kg,88.190000 L,3915 km
GDL,MEX,2019-05-18,€5.000000,142.000000 kg,18.480000 L,507 km
MEX,BOS,2019-05-25,€22.000000,949.940000 kg,84.350000 L,3720 km
BOS,DET,2019-05-25,€8.000000,304.870000 kg,31.090000 L,1035 km
DET,BOS,2019-05-31,€8.000000,304.870000 kg,31.090000 L,1035 km
BOS,LGA,2019-05-31,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,BOS,2019-06-08,€5.000000,78.000000 kg,14.680000 L,346 km
BOS,NVT,2019-06-08,€59.000000,2526.800000 kg,217.990000 L,8099 km
NVT,BOS,2019-06-14,€59.000000,2526.800000 kg,217.990000 L,8099 km
BOS,MCF,2019-06-14,€13.000000,534.830000 kg,49.710000 L,1966 km
MCF,LHR,2019-06-16,€50.000000,2152.420000 kg,186.290000 L,7150 km
LHR,BOS,2019-06-22,€35.000000,1512.000000 kg,132.150000 L,5288 km
BUR,BOS,2019-06-28,€26.000000,1098.740000 kg,96.890000 L,4230 km
BOS,LHR,2019-06-28,€35.000000,1512.000000 kg,132.150000 L,5288 km
LHR,EWR,2019-06-29,€34.000000,1468.000000 kg,128.100000 L,5610 km
EWR,LHR,2019-06-30,€34.000000,1468.000000 kg,128.100000 L,5610 km
LHR,BOS,2019-07-12,€35.000000,1512.000000 kg,132.150000 L,5288 km
BOS,BFI,2019-07-12,€24.000000,1036.790000 kg,91.630000 L,4057 km
BFI,DAL,2019-07-13,€17.000000,718.240000 kg,65.010000 L,2741 km
DAL,YHU,2019-07-14,€15.000000,648.680000 kg,59.200000 L,2446 km
YHU,BOS,2019-07-18,€5.000000,152.480000 kg,19.730000 L,525 km
BOS,BCN,2019-07-18,€40.000000,1703.300000 kg,148.190000 L,5914 km
BCN,IBZ,2019-07-19,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,ZAD,2019-07-24,€9.000000,383.160000 kg,37.430000 L,1352 km
ZAD,CIA,2019-07-25,€5.000000,107.120000 kg,16.970000 L,410 km
CIA,TXL,2019-07-27,€9.000000,357.980000 kg,35.390000 L,1250 km
TXL,GLA,2019-08-02,€9.000000,356.890000 kg,35.300000 L,1246 km
GLA,CPH,2019-08-09,€11.000000,461.000000 kg,46.580000 L,1109 km
CPH,AMS,2019-08-10,€5.000000,204.000000 kg,23.290000 L,687 km
AMS,LHR,2019-08-17,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,OTP,2019-08-23,€14.000000,575.000000 kg,52.910000 L,2152 km
OTP,IST,2019-08-25,€5.000000,138.000000 kg,18.220000 L,505 km
IST,IBZ,2019-08-26,€15.000000,634.310000 kg,58.000000 L,2386 km
IBZ,ABQ,2019-09-01,€67.000000,2889.740000 kg,248.720000 L,9018 km
ABQ,BOS,2019-09-07,€20.000000,832.190000 kg,74.520000 L,3222 km
BOS,BOG,2019-09-19,€26.000000,1107.470000 kg,97.630000 L,4254 km
BOG,EOH,2019-09-20,€5.000000,59.740000 kg,13.710000 L,281 km
EOH,SNC,2019-09-21,€8.000000,336.330000 kg,33.640000 L,1163 km
SNC,BOS,2019-09-27,€33.000000,1415.790000 kg,123.790000 L,5113 km
BOS,LGA,2019-09-27,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,DCA,2019-09-28,€5.000000,91.000000 kg,14.680000 L,393 km
DCA,BOS,2019-10-05,€5.000000,204.000000 kg,23.290000 L,689 km
BOS,DEN,2019-10-05,€16.000000,673.000000 kg,60.500000 L,2865 km
DEN,BOS,2019-10-10,€16.000000,673.000000 kg,60.500000 L,2865 km
BOS,TXL,2019-10-10,€41.000000,1778.870000 kg,154.600000 L,6125 km
TXL,LHR,2019-10-12,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,AMS,2019-10-17,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,BOS,2019-10-24,€32.000000,1354.000000 kg,117.970000 L,5594 km
BOS,LGA,2019-10-31,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,NGO,2019-11-01,€88.000000,3805.640000 kg,326.320000 L,11058 km
NGO,LGA,2019-11-02,€88.000000,3805.640000 kg,326.320000 L,11058 km
LGA,HND,2019-11-03,€86.000000,3737.590000 kg,320.550000 L,10922 km
HND,SIN,2019-11-07,€39.000000,1665.000000 kg,145.310000 L,5346 km
SIN,HLP,2019-11-08,€8.000000,311.000000 kg,32.400000 L,954 km
HLP,BUR,2019-11-15,€128.000000,5525.100000 kg,472.060000 L,14501 km
BUR,BOS,2019-11-27,€26.000000,1098.740000 kg,96.890000 L,4230 km
BOS,LGA,2019-11-27,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,BOS,2019-11-30,€5.000000,78.000000 kg,14.680000 L,346 km
BOS,DET,2019-11-30,€8.000000,304.870000 kg,31.090000 L,1035 km
DET,BOS,2019-12-05,€8.000000,304.870000 kg,31.090000 L,1035 km
BOS,LHR,2019-12-05,€35.000000,1512.000000 kg,132.150000 L,5288 km
LHR,BOS,2019-12-31,€35.000000,1512.000000 kg,132.150000 L,5288 km
