DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
NYO,VIE,2019-03-01,€9.000000,352.210000 kg,34.920000 L,1227 km
VIE,NYO,2019-05-09,€9.000000,352.210000 kg,34.920000 L,1227 km
NYO,TXL,2019-05-09,€6.000000,226.000000 kg,24.770000 L,778 km
TXL,NYO,2019-06-07,€6.000000,226.000000 kg,24.770000 L,778 km
NYO,BMA,2019-06-07,€5.000000,27.860000 kg,7.050000 L,136 km
BMA,BGO,2019-06-08,€6.000000,223.020000 kg,24.530000 L,769 km
BGO,NYO,2019-08-23,€5.000000,211.160000 kg,23.660000 L,729 km
NYO,BRI,2019-08-23,€13.000000,546.670000 kg,50.680000 L,2015 km
BRI,NYO,2019-09-28,€13.000000,546.670000 kg,50.680000 L,2015 km
NYO,HND,2019-09-28,€61.000000,2619.850000 kg,225.870000 L,8334 km
HND,NYO,2019-10-18,€61.000000,2619.850000 kg,225.870000 L,8334 km
