DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
FCO,RTM,2019-01-12,€9.000000,376.200000 kg,36.870000 L,1324 km
RTM,FCO,2019-01-26,€9.000000,376.200000 kg,36.870000 L,1324 km
FCO,BRU,2019-01-26,€8.000000,320.000000 kg,31.640000 L,1222 km
BRU,FCO,2019-02-22,€8.000000,320.000000 kg,31.640000 L,1222 km
FCO,LCY,2019-02-22,€10.000000,412.720000 kg,39.830000 L,1472 km
LCY,FCO,2019-03-22,€10.000000,412.720000 kg,39.830000 L,1472 km
FCO,MHP,2019-03-22,€12.000000,503.190000 kg,47.150000 L,1838 km
MHP,FCO,2019-04-05,€12.000000,503.190000 kg,47.150000 L,1838 km
FCO,BES,2019-04-05,€10.000000,431.420000 kg,41.340000 L,1548 km
BES,FCO,2019-04-13,€10.000000,431.420000 kg,41.340000 L,1548 km
FCO,TXL,2019-04-13,€7.000000,269.000000 kg,26.580000 L,1247 km
TXL,FCO,2019-05-01,€7.000000,269.000000 kg,26.580000 L,1247 km
FCO,HND,2019-05-01,€75.000000,3258.810000 kg,279.970000 L,9953 km
HND,PEK,2019-05-02,€14.000000,591.000000 kg,54.430000 L,2139 km
PEK,SZX,2019-05-03,€13.000000,551.000000 kg,51.130000 L,2004 km
SZX,TSA,2019-05-04,€6.000000,258.210000 kg,27.350000 L,880 km
TSA,GMP,2019-05-05,€10.000000,424.230000 kg,40.760000 L,1519 km
GMP,SYD,2019-05-10,€61.000000,2641.800000 kg,227.730000 L,8390 km
SYD,MEB,2019-05-11,€6.000000,218.980000 kg,24.200000 L,756 km
MAD,FCO,2019-05-18,€8.000000,321.000000 kg,31.130000 L,1378 km
FCO,LCY,2019-05-18,€10.000000,412.720000 kg,39.830000 L,1472 km
LCY,FCO,2019-05-25,€10.000000,412.720000 kg,39.830000 L,1472 km
FCO,GRQ,2019-05-25,€9.000000,389.950000 kg,37.980000 L,1380 km
GRQ,FCO,2019-05-30,€9.000000,389.950000 kg,37.980000 L,1380 km
FCO,LYN,2019-05-30,€6.000000,226.850000 kg,24.830000 L,781 km
LYN,FCO,2019-06-09,€6.000000,226.850000 kg,24.830000 L,781 km
FCO,ORY,2019-06-09,€8.000000,330.240000 kg,33.150000 L,1138 km
ORY,FCO,2019-06-28,€8.000000,330.240000 kg,33.150000 L,1138 km
FCO,CIA,2019-06-28,€5.000000,10.270000 kg,2.590000 L,50 km
CIA,FCO,2019-07-05,€5.000000,10.270000 kg,2.590000 L,50 km
FCO,GLO,2019-07-05,€11.000000,447.900000 kg,42.670000 L,1615 km
GLO,FCO,2019-07-13,€11.000000,447.900000 kg,42.670000 L,1615 km
FCO,CIA,2019-07-13,€5.000000,10.270000 kg,2.590000 L,50 km
CIA,FCO,2019-07-19,€5.000000,10.270000 kg,2.590000 L,50 km
FCO,BCN,2019-07-19,€6.000000,225.000000 kg,23.790000 L,897 km
BCN,FCO,2019-08-02,€6.000000,225.000000 kg,23.790000 L,897 km
FCO,CIA,2019-08-02,€5.000000,10.270000 kg,2.590000 L,50 km
CIA,FCO,2019-08-30,€5.000000,10.270000 kg,2.590000 L,50 km
FCO,CIA,2019-08-30,€5.000000,10.270000 kg,2.590000 L,50 km
CIA,FCO,2019-09-07,€5.000000,10.270000 kg,2.590000 L,50 km
FCO,CIA,2019-09-07,€5.000000,10.270000 kg,2.590000 L,50 km
CIA,FCO,2019-09-14,€5.000000,10.270000 kg,2.590000 L,50 km
FCO,TXL,2019-09-14,€7.000000,269.000000 kg,26.580000 L,1247 km
TXL,FCO,2019-09-20,€7.000000,269.000000 kg,26.580000 L,1247 km
FCO,WAW,2019-09-20,€10.000000,404.000000 kg,39.240000 L,1374 km
WAW,FCO,2019-10-13,€10.000000,404.000000 kg,39.240000 L,1374 km
FCO,MAD,2019-10-13,€8.000000,321.000000 kg,31.130000 L,1378 km
MAD,FCO,2019-10-19,€8.000000,321.000000 kg,31.130000 L,1378 km
FCO,AMS,2019-10-19,€9.000000,373.000000 kg,36.200000 L,1346 km
AMS,FCO,2019-11-07,€9.000000,373.000000 kg,36.200000 L,1346 km
FCO,AMS,2019-11-07,€9.000000,373.000000 kg,36.200000 L,1346 km
AMS,FCO,2019-11-22,€9.000000,373.000000 kg,36.200000 L,1346 km
FCO,CIA,2019-11-22,€5.000000,10.270000 kg,2.590000 L,50 km
CIA,FCO,2019-11-29,€5.000000,10.270000 kg,2.590000 L,50 km
FCO,GVA,2019-11-29,€5.000000,203.000000 kg,22.530000 L,744 km
GVA,FCO,2019-12-20,€5.000000,203.000000 kg,22.530000 L,744 km
FCO,SDV,2019-12-20,€15.000000,618.040000 kg,56.640000 L,2317 km
SDV,MAD,2019-12-22,€22.000000,917.690000 kg,81.660000 L,3584 km
MAD,FCO,2019-12-28,€8.000000,321.000000 kg,31.130000 L,1378 km
FCO,PRN,2019-12-28,€6.000000,227.070000 kg,24.850000 L,781 km
PRN,FCO,2019-12-31,€6.000000,227.070000 kg,24.850000 L,781 km
