DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,DCA,2019-01-25,€47.000000,2013.820000 kg,174.540000 L,6779 km
DCA,CZM,2019-01-26,€15.000000,614.130000 kg,56.310000 L,2300 km
LGA,SXF,2019-03-02,€44.000000,1890.850000 kg,164.110000 L,6436 km
SXF,FRA,2019-03-02,€5.000000,140.910000 kg,18.990000 L,490 km
FRA,SXF,2019-03-08,€5.000000,140.910000 kg,18.990000 L,490 km
SXF,LIN,2019-03-08,€7.000000,262.280000 kg,27.670000 L,893 km
LIN,VCE,2019-03-09,€5.000000,62.580000 kg,13.970000 L,292 km
VCE,SXF,2019-03-16,€6.000000,245.830000 kg,26.350000 L,841 km
SXF,OPO,2019-03-16,€14.000000,576.830000 kg,53.200000 L,2143 km
OPO,SXF,2019-03-21,€14.000000,576.830000 kg,53.200000 L,2143 km
SXF,TLV,2019-03-21,€18.000000,751.000000 kg,67.590000 L,2894 km
TLV,AUH,2019-03-22,€14.000000,574.210000 kg,52.980000 L,2131 km
AUH,QPG,2019-03-29,€40.000000,1720.490000 kg,149.650000 L,5962 km
QPG,DPS,2019-03-30,€11.000000,476.580000 kg,45.000000 L,1731 km
DPS,SYD,2019-04-06,€29.000000,1249.000000 kg,109.620000 L,4669 km
MLH,AMS,2019-04-20,€5.000000,170.920000 kg,20.970000 L,590 km
AMS,SXF,2019-04-26,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,FRA,2019-04-26,€5.000000,140.910000 kg,18.990000 L,490 km
FRA,LCY,2019-04-27,€6.000000,227.000000 kg,26.320000 L,670 km
LCY,PSA,2019-04-28,€9.000000,349.070000 kg,34.670000 L,1214 km
PSA,SXF,2019-05-03,€8.000000,310.420000 kg,31.540000 L,1058 km
SXF,BCN,2019-05-03,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,WAT,2019-05-05,€10.000000,406.630000 kg,39.330000 L,1447 km
WAT,SXF,2019-05-09,€10.000000,406.230000 kg,39.300000 L,1446 km
SXF,YTZ,2019-05-09,€45.000000,1928.890000 kg,167.330000 L,6542 km
YTZ,YHU,2019-05-10,€5.000000,148.660000 kg,19.480000 L,512 km
YHU,LGA,2019-05-11,€5.000000,179.030000 kg,21.510000 L,618 km
LGA,BOS,2019-05-12,€5.000000,78.000000 kg,14.680000 L,346 km
BOS,IBZ,2019-05-20,€40.000000,1729.060000 kg,150.380000 L,5986 km
IBZ,SXF,2019-05-24,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,IEV,2019-05-24,€9.000000,356.900000 kg,35.300000 L,1246 km
IEV,TXL,2019-05-26,€9.000000,360.520000 kg,35.600000 L,1261 km
TXL,SXF,2019-05-29,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HAM,2019-05-29,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,CIA,2019-05-30,€9.000000,389.260000 kg,37.920000 L,1377 km
CIA,SXF,2019-06-05,€9.000000,356.520000 kg,35.270000 L,1245 km
SXF,KVA,2019-06-05,€11.000000,437.750000 kg,41.850000 L,1573 km
KVA,MST,2019-06-07,€12.000000,507.420000 kg,47.490000 L,1855 km
MST,IBZ,2019-06-08,€10.000000,403.590000 kg,39.090000 L,1435 km
IBZ,SXF,2019-06-13,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,HRG,2019-06-13,€20.000000,858.840000 kg,76.740000 L,3335 km
HRG,BCN,2019-06-14,€20.000000,860.580000 kg,76.890000 L,3342 km
BCN,IBZ,2019-06-17,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,SXF,2019-06-28,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,IBZ,2019-06-28,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-07-05,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,ZRH,2019-07-05,€5.000000,206.860000 kg,23.370000 L,714 km
ZRH,IBZ,2019-07-06,€6.000000,248.000000 kg,24.810000 L,1165 km
IBZ,SXF,2019-07-11,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,BCN,2019-07-11,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,SXF,2019-07-15,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,IBZ,2019-07-15,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-07-18,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,BCN,2019-07-18,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,SXF,2019-07-25,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,NCE,2019-07-25,€8.000000,330.150000 kg,33.140000 L,1138 km
NCE,SXF,2019-07-29,€8.000000,330.150000 kg,33.140000 L,1138 km
SXF,IBZ,2019-07-29,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-08-03,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,AMS,2019-08-03,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-08-10,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,RTM,2019-08-10,€5.000000,194.380000 kg,22.530000 L,671 km
RTM,SXF,2019-08-25,€5.000000,194.380000 kg,22.530000 L,671 km
SXF,NHT,2019-08-25,€7.000000,297.460000 kg,30.490000 L,1005 km
NHT,IBZ,2019-08-26,€10.000000,411.680000 kg,39.740000 L,1468 km
IBZ,SXF,2019-09-06,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,BCN,2019-09-06,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,FRA,2019-09-07,€7.000000,275.000000 kg,27.590000 L,1143 km
FRA,IBZ,2019-09-08,€7.000000,300.000000 kg,29.110000 L,1412 km
IBZ,SXF,2019-09-14,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,TLV,2019-09-14,€18.000000,751.000000 kg,67.590000 L,2894 km
TLV,IBZ,2019-09-16,€19.000000,819.240000 kg,73.440000 L,3168 km
IBZ,SXF,2019-09-20,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,VIY,2019-09-20,€7.000000,280.040000 kg,29.100000 L,949 km
VIY,LIS,2019-09-21,€10.000000,415.830000 kg,40.080000 L,1485 km
LIS,SXF,2019-09-27,€15.000000,629.470000 kg,57.600000 L,2365 km
SXF,AUH,2019-09-27,€30.000000,1261.030000 kg,110.660000 L,4682 km
AUH,FLR,2019-10-05,€28.000000,1197.370000 kg,105.260000 L,4505 km
FLR,SXF,2019-10-18,€7.000000,304.330000 kg,31.050000 L,1033 km
SXF,AMS,2019-10-18,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-10-25,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,TNT,2019-10-25,€6.000000,228.640000 kg,24.980000 L,786 km
TNT,LGA,2019-10-26,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,SXF,2019-11-23,€44.000000,1890.850000 kg,164.110000 L,6436 km
SXF,TXL,2019-11-23,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-11-30,€5.000000,13.420000 kg,3.390000 L,65 km
