DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LAX,TXL,2019-01-19,€70.000000,3032.440000 kg,260.810000 L,9380 km
TXL,LAX,2019-03-02,€70.000000,3032.440000 kg,260.810000 L,9380 km
LAX,BRN,2019-03-02,€72.000000,3114.310000 kg,267.740000 L,9587 km
BRN,CGN,2019-03-15,€5.000000,140.960000 kg,18.990000 L,490 km
CGN,TNT,2019-03-26,€5.000000,190.980000 kg,22.310000 L,659 km
TNT,LAX,2019-03-30,€74.000000,3214.680000 kg,276.240000 L,9842 km
LAX,TNT,2019-03-30,€74.000000,3214.680000 kg,276.240000 L,9842 km
TNT,LAX,2019-04-11,€74.000000,3214.680000 kg,276.240000 L,9842 km
LAX,CLO,2019-04-11,€37.000000,1577.270000 kg,137.500000 L,5563 km
CLO,EOH,2019-04-13,€5.000000,95.280000 kg,16.260000 L,382 km
EOH,LAX,2019-04-19,€36.000000,1527.520000 kg,133.270000 L,5424 km
LAX,LBG,2019-04-19,€68.000000,2946.180000 kg,253.500000 L,9161 km
LBG,STR,2019-04-20,€5.000000,158.120000 kg,20.110000 L,545 km
STR,DRS,2019-04-26,€5.000000,134.820000 kg,18.630000 L,475 km
DRS,LAX,2019-05-23,€72.000000,3089.690000 kg,265.650000 L,9525 km
LAX,TXL,2019-05-23,€70.000000,3032.440000 kg,260.810000 L,9380 km
TXL,DET,2019-05-26,€47.000000,2032.230000 kg,176.100000 L,6830 km
DET,LAX,2019-06-15,€20.000000,841.550000 kg,75.300000 L,3262 km
LAX,BFI,2019-06-15,€11.000000,443.900000 kg,42.350000 L,1598 km
BFI,LAX,2019-06-25,€11.000000,443.900000 kg,42.350000 L,1598 km
LAX,LAS,2019-06-25,€5.000000,104.000000 kg,15.440000 L,428 km
LAS,LAX,2019-07-04,€5.000000,104.000000 kg,15.440000 L,428 km
LAX,QPG,2019-07-04,€124.000000,5362.350000 kg,458.270000 L,14175 km
QPG,BKK,2019-07-05,€10.000000,414.460000 kg,39.960000 L,1479 km
BKK,HAN,2019-07-06,€7.000000,301.000000 kg,30.630000 L,1032 km
HAN,LCY,2019-07-19,€69.000000,2994.850000 kg,257.620000 L,9285 km
LCY,OBF,2019-07-20,€7.000000,277.280000 kg,28.870000 L,940 km
OBF,ANS,2019-07-28,€85.000000,3680.710000 kg,315.730000 L,10808 km
ANS,LAX,2019-08-11,€50.000000,2161.490000 kg,187.060000 L,7173 km
LAX,BUR,2019-08-11,€5.000000,16.320000 kg,4.130000 L,80 km
BUR,LAX,2019-08-17,€5.000000,16.320000 kg,4.130000 L,80 km
LAX,SPG,2019-08-17,€21.000000,899.630000 kg,80.150000 L,3507 km
SPG,HHR,2019-08-18,€21.000000,898.530000 kg,80.060000 L,3503 km
HHR,LAX,2019-08-23,€5.000000,11.210000 kg,2.830000 L,54 km
LAX,SSN,2019-08-23,€73.000000,3137.520000 kg,269.700000 L,9646 km
SSN,HAM,2019-09-06,€60.000000,2597.800000 kg,224.000000 L,8279 km
HAM,LAX,2019-10-04,€68.000000,2940.430000 kg,253.020000 L,9147 km
LAX,BCN,2019-10-04,€73.000000,3172.740000 kg,272.690000 L,9735 km
BCN,BRS,2019-10-05,€9.000000,353.030000 kg,34.990000 L,1230 km
BRS,AMS,2019-10-16,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,IST,2019-10-19,€14.000000,598.000000 kg,54.930000 L,2258 km
IST,GLA,2019-10-24,€18.000000,762.930000 kg,68.740000 L,2929 km
GLA,DUB,2019-10-25,€5.000000,35.000000 kg,8.860000 L,346 km
DUB,BHD,2019-10-26,€5.000000,37.510000 kg,9.490000 L,183 km
BHD,GRX,2019-10-31,€13.000000,543.930000 kg,50.450000 L,2003 km
GRX,CPH,2019-11-01,€15.000000,647.980000 kg,59.140000 L,2443 km
CPH,OBF,2019-11-02,€7.000000,262.450000 kg,27.690000 L,893 km
OBF,LCY,2019-11-09,€7.000000,277.280000 kg,28.870000 L,940 km
LCY,MAD,2019-11-16,€11.000000,437.000000 kg,42.780000 L,1305 km
MAD,KSF,2019-11-22,€11.000000,449.670000 kg,42.820000 L,1622 km
KSF,TXL,2019-11-23,€5.000000,80.720000 kg,15.390000 L,348 km
TXL,PHX,2019-11-29,€68.000000,2940.170000 kg,252.990000 L,9146 km
PHX,LAX,2019-12-12,€5.000000,171.000000 kg,20.000000 L,644 km
LAX,CGH,2019-12-12,€76.000000,3268.410000 kg,280.780000 L,9978 km
CGH,LAX,2019-12-15,€76.000000,3268.410000 kg,280.780000 L,9978 km
