DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ORD,AMS,2019-01-01,€50.000000,2146.000000 kg,186.070000 L,6658 km
AMS,ORD,2019-02-01,€50.000000,2146.000000 kg,186.070000 L,6658 km
ORD,LIL,2019-02-01,€46.000000,1973.570000 kg,171.130000 L,6667 km
LIL,NAP,2019-02-02,€10.000000,402.590000 kg,39.010000 L,1431 km
NAP,LBA,2019-02-08,€13.000000,523.360000 kg,48.780000 L,1920 km
LBA,ANR,2019-02-09,€5.000000,162.410000 kg,20.400000 L,560 km
ANR,TBS,2019-02-15,€20.000000,842.350000 kg,75.370000 L,3265 km
TBS,LCY,2019-02-21,€22.000000,914.910000 kg,81.430000 L,3572 km
LCY,EIN,2019-02-22,€5.000000,110.510000 kg,17.170000 L,418 km
EIN,GVA,2019-03-01,€5.000000,183.360000 kg,21.800000 L,633 km
GVA,FLR,2019-03-02,€5.000000,154.490000 kg,19.870000 L,532 km
FLR,LBG,2019-03-09,€7.000000,274.980000 kg,28.690000 L,933 km
LBG,VIY,2019-03-14,€5.000000,16.110000 kg,4.070000 L,78 km
VIY,CIA,2019-03-22,€8.000000,333.920000 kg,33.440000 L,1153 km
CIA,BGY,2019-03-23,€5.000000,152.460000 kg,19.730000 L,525 km
BGY,GVA,2019-03-29,€5.000000,74.860000 kg,15.040000 L,334 km
GVA,PMO,2019-03-30,€8.000000,328.550000 kg,33.010000 L,1131 km
PMO,SIR,2019-04-02,€8.000000,315.640000 kg,31.960000 L,1079 km
SIR,LCY,2019-04-05,€6.000000,246.430000 kg,26.400000 L,843 km
LCY,TLS,2019-04-13,€7.000000,275.440000 kg,28.730000 L,934 km
TLS,BRU,2019-04-17,€9.000000,361.000000 kg,38.220000 L,890 km
BRU,ORD,2019-05-03,€40.000000,1724.000000 kg,149.620000 L,6722 km
ORD,SCL,2019-05-03,€64.000000,2740.450000 kg,236.080000 L,8640 km
SCL,CGH,2019-05-04,€16.000000,693.990000 kg,62.980000 L,2638 km
CGH,ORD,2019-05-18,€62.000000,2684.200000 kg,231.320000 L,8497 km
