DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SGY,IST,2019-01-11,€65.000000,2794.180000 kg,240.630000 L,8776 km
IST,LCY,2019-01-12,€16.000000,662.560000 kg,60.360000 L,2505 km
LCY,SFO,2019-01-18,€64.000000,2763.150000 kg,238.000000 L,8698 km
SFO,SGY,2019-01-26,€17.000000,697.440000 kg,63.270000 L,2653 km
SGY,HLP,2019-01-26,€101.000000,4381.350000 kg,375.120000 L,12211 km
HLP,LCY,2019-02-01,€96.000000,4163.890000 kg,356.690000 L,11775 km
LCY,LGA,2019-02-15,€37.000000,1599.810000 kg,139.410000 L,5626 km
LGA,SGY,2019-02-22,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-02-22,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-03-08,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-03-08,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-03-16,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-03-16,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-03-29,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-03-29,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-04-13,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,MEX,2019-04-13,€35.000000,1504.440000 kg,131.320000 L,5360 km
MEX,SGY,2019-04-19,€35.000000,1504.440000 kg,131.320000 L,5360 km
SGY,ABQ,2019-04-19,€21.000000,891.510000 kg,79.470000 L,3473 km
ABQ,DET,2019-04-20,€14.000000,601.600000 kg,55.270000 L,2247 km
DET,SGY,2019-04-26,€24.000000,1032.040000 kg,91.230000 L,4044 km
SGY,HHR,2019-04-26,€19.000000,816.330000 kg,73.190000 L,3155 km
HHR,SGY,2019-05-03,€19.000000,816.330000 kg,73.190000 L,3155 km
SGY,LGA,2019-05-03,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-05-16,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-05-16,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-05-25,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,CTA,2019-05-25,€66.000000,2864.750000 kg,246.610000 L,8955 km
CTA,MAD,2019-06-07,€11.000000,475.000000 kg,44.810000 L,1688 km
MAD,LBG,2019-06-08,€8.000000,322.770000 kg,32.540000 L,1108 km
LBG,CZM,2019-06-14,€61.000000,2613.460000 kg,225.330000 L,8318 km
CZM,SGY,2019-06-21,€39.000000,1669.660000 kg,145.340000 L,5820 km
SGY,ADL,2019-06-21,€112.000000,4854.540000 kg,415.230000 L,13158 km
ADL,MEB,2019-06-22,€5.000000,201.170000 kg,22.990000 L,695 km
MEB,SYD,2019-06-28,€6.000000,218.980000 kg,24.200000 L,756 km
SYD,ALB,2019-07-12,€106.000000,4602.000000 kg,394.170000 L,12102 km
ALB,SGY,2019-07-24,€28.000000,1208.920000 kg,106.240000 L,4537 km
SGY,LGA,2019-07-24,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-08-02,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-08-02,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-08-09,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-08-09,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-08-24,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-08-24,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-09-13,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-09-13,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-09-28,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-09-28,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-10-04,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-10-04,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-10-12,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-10-12,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-10-19,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-10-19,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-10-25,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LCY,2019-10-25,€50.000000,2130.710000 kg,184.450000 L,7095 km
LCY,LGA,2019-11-01,€37.000000,1599.810000 kg,139.410000 L,5626 km
LGA,SGY,2019-11-22,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,SFO,2019-11-22,€17.000000,697.440000 kg,63.270000 L,2653 km
SFO,SGY,2019-11-29,€17.000000,697.440000 kg,63.270000 L,2653 km
SGY,LGA,2019-11-29,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-11-30,€30.000000,1265.210000 kg,111.020000 L,4694 km
