DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
GFK,SAN,2019-03-02,€15.000000,645.630000 kg,58.940000 L,2433 km
SAN,GFK,2019-03-21,€15.000000,645.630000 kg,58.940000 L,2433 km
GFK,TLV,2019-03-21,€76.000000,3272.350000 kg,281.120000 L,9988 km
TLV,LAS,2019-03-22,€98.000000,4222.120000 kg,361.620000 L,11892 km
LAS,HOU,2019-03-24,€13.000000,551.570000 kg,51.090000 L,2036 km
HOU,GFK,2019-03-29,€13.000000,565.130000 kg,52.220000 L,2093 km
GFK,TNT,2019-03-29,€53.000000,2299.280000 kg,198.730000 L,7522 km
TNT,GFK,2019-04-05,€53.000000,2299.280000 kg,198.730000 L,7522 km
GFK,RTM,2019-04-05,€46.000000,1991.570000 kg,172.650000 L,6717 km
RTM,MHG,2019-04-06,€5.000000,122.120000 kg,17.870000 L,445 km
MHG,BMA,2019-04-12,€9.000000,371.450000 kg,36.480000 L,1305 km
BMA,ORY,2019-04-13,€11.000000,445.090000 kg,42.450000 L,1603 km
ORY,BCN,2019-04-19,€8.000000,322.000000 kg,34.170000 L,876 km
BCN,AGP,2019-04-20,€5.000000,201.000000 kg,21.770000 L,813 km
AGP,OBF,2019-04-21,€12.000000,508.390000 kg,47.570000 L,1859 km
OBF,CND,2019-04-25,€10.000000,407.800000 kg,39.430000 L,1452 km
CND,LCY,2019-04-28,€15.000000,617.910000 kg,56.630000 L,2316 km
LCY,LIN,2019-04-30,€7.000000,297.740000 kg,30.510000 L,1007 km
LIN,MLH,2019-05-10,€5.000000,79.900000 kg,15.340000 L,346 km
MLH,IBZ,2019-05-11,€8.000000,333.170000 kg,33.380000 L,1150 km
IBZ,LGA,2019-05-16,€43.000000,1833.160000 kg,159.210000 L,6276 km
LGA,GFK,2019-05-20,€13.000000,557.350000 kg,51.570000 L,2060 km
GFK,IBZ,2019-05-20,€53.000000,2299.640000 kg,198.760000 L,7523 km
IBZ,LBA,2019-05-26,€11.000000,477.610000 kg,45.080000 L,1735 km
LBA,IBZ,2019-05-27,€11.000000,477.610000 kg,45.080000 L,1735 km
IBZ,MHG,2019-05-30,€9.000000,385.040000 kg,37.580000 L,1360 km
MHG,TXL,2019-06-01,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,IBZ,2019-06-06,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,MAN,2019-06-08,€11.000000,465.380000 kg,44.090000 L,1685 km
MAN,IBZ,2019-06-12,€11.000000,465.380000 kg,44.090000 L,1685 km
IBZ,CIA,2019-06-15,€7.000000,303.120000 kg,30.950000 L,1028 km
CIA,NAP,2019-06-16,€5.000000,50.910000 kg,12.880000 L,249 km
NAP,IBZ,2019-06-21,€8.000000,339.570000 kg,33.900000 L,1176 km
IBZ,FLR,2019-06-22,€8.000000,305.540000 kg,31.150000 L,1038 km
FLR,VKO,2019-06-28,€15.000000,618.260000 kg,56.660000 L,2318 km
VKO,JMK,2019-07-08,€14.000000,604.490000 kg,55.510000 L,2260 km
